Label,Min RR,Max RR,AVG RR,Median RR,Skew RR,Kurtosis RR,Min PR,Max PR,AVG PR,Median PR,Skew PR,Kurtosis PR,Min QT,Max QT,AVG QT,Median QT,Skew QT,Kurtosis QT,Min QRS,Max QRS,AVG QRS,Median QRS,Skew QRS,Kurtosis QRS
N,115,289,196.9142857142857,199.0,-0.024615421339105145,0.9747288832255077,36,74,43.916666666666664,42.0,1.9951046662175596,3.1816258096087253,32,102,76.1470588235294,85.0,-0.6676370566840065,-0.7526468317711417,0.011111111111111112,0.08055555555555556,0.03531746031746032,0.03333333333333333,0.5080406022072981,-0.9770032397854984
N,126,269,198.65714285714284,202.0,-0.4086311693914667,0.7132318840749079,35,74,43.19444444444444,42.0,2.7012531214758404,10.191280786367674,35,100,78.8529411764706,83.5,-0.9454769756843623,0.041050961785265905,0.013888888888888888,0.06944444444444445,0.03436507936507937,0.03333333333333333,0.6604240313933788,-0.722928033671904
N,132,220,192.77777777777777,192.0,-1.7082004893898097,5.661222318465681,30,67,41.4054054054054,42.0,1.4270938354408063,3.1218749042939864,48,102,80.77142857142857,86.0,-0.6847941249834604,-0.7702570713813595,0.013888888888888888,0.08611111111111111,0.0308641975308642,0.020833333333333336,1.2350501014458206,1.1514101013009368
N,156,210,190.83333333333334,191.0,-0.7420239535231011,1.4763866657721856,30,72,41.5945945945946,42.0,2.3310913909152164,6.294944467017409,42,99,78.81818181818181,85.0,-0.7536632872240276,-0.7395802642673917,0.013888888888888888,0.08333333333333333,0.02962962962962963,0.022222222222222223,1.3641164891540216,1.8823815709317335
V,132,224,188.21621621621622,190.0,-1.0417635129171134,2.8522324828049204,35,62,40.60526315789474,40.5,1.7052591188753836,4.09816063170804,34,98,76.44444444444444,84.5,-0.9271227883843043,-0.46244259346043304,0.011111111111111112,0.08611111111111111,0.03430930930930931,0.03333333333333333,0.7620274360085374,-0.08845511102809622
N,164,242,197.71428571428572,192.0,0.6136854907917394,-0.028065464220303316,31,71,42.52777777777778,42.0,1.8572532483044135,5.609380737390008,34,95,76.97142857142858,83.0,-0.9879012539101962,-0.05867729014023526,0.013888888888888888,0.07222222222222222,0.033571428571428565,0.03333333333333333,0.6818882622973089,-0.43284885715108024
V,168,252,197.8,198.0,0.6814852873499313,0.5075878057647811,26,79,42.97222222222222,42.0,1.7621026697401576,4.029880072509241,34,103,74.41176470588235,80.5,-0.5484322138136849,-0.8853287370628631,0.013888888888888888,0.09444444444444444,0.03373015873015873,0.025,1.4158830188043359,1.3606539565499611
N,102,287,194.97222222222223,198.5,-0.022069132966275697,1.1706381582403953,29,74,41.32432432432432,41.0,2.4731525809629065,7.173533964667826,30,109,76.05555555555556,81.0,-0.7525555951763814,-0.3075384352989263,0.013888888888888888,0.07222222222222222,0.03364197530864197,0.03194444444444444,0.7684948747016328,-0.6912512256493062
N,144,221,190.1891891891892,192.0,-0.9420948952249384,1.2575105464483283,30,74,42.23684210526316,41.0,2.0050337430524543,4.3189288755082185,34,97,78.05555555555556,84.5,-0.8128384936673804,-0.3626024347667678,0.013888888888888888,0.08055555555555556,0.030480480480480486,0.019444444444444445,1.068243496642216,0.26531485516925635
V,109,270,185.45945945945945,193.0,-0.699768885177983,0.5610418312041294,30,70,40.63157894736842,38.0,2.6045888303974656,7.379417924175918,33,98,70.77142857142857,78.0,-0.4055612918939206,-1.2818218561453707,0.016666666666666666,0.1388888888888889,0.03791291291291291,0.022222222222222223,1.7351563112151989,3.861000325393559
N,174,255,197.57142857142858,198.0,1.1376813671874138,2.4987345918208197,36,79,43.138888888888886,42.0,2.5386351730097996,6.601117392990172,30,104,80.38235294117646,85.5,-1.1302390547188164,0.6766971314680537,0.013888888888888888,0.06666666666666667,0.033174603174603176,0.022222222222222223,0.5654809922760904,-1.1278411219318072
V,114,489,197.42857142857142,192.0,1.9236279159800782,5.188457308520393,28,73,41.888888888888886,42.0,1.2549518700595128,1.7498973874070831,40,106,73.02857142857142,79.0,-0.3433545560816892,-1.181680412620229,0.013888888888888888,0.09722222222222222,0.04484126984126984,0.03888888888888889,0.7977632260151754,-0.4271792839263471
V,98,467,229.8,191.5,0.7821583730890895,-0.5144444958850296,30,77,41.61290322580645,41.0,2.2171465032170743,4.704785752695618,32,98,66.07142857142857,71.0,-0.3899892470383655,-1.123422620789591,0.013888888888888888,0.1,0.046851851851851846,0.04583333333333334,0.4147663517442294,-1.1789144994021572
V,97,384,194.2,186.0,0.6264268338582706,-0.23553709408182089,30,72,40.833333333333336,37.0,2.2670606766971324,4.399458305893681,31,95,63.4375,61.5,0.046306301978049115,-1.3163919705565372,0.011111111111111112,0.07222222222222222,0.03746031746031746,0.03333333333333333,0.2909772540664797,-1.3673553369620446
V,103,454,212.16129032258064,204.0,1.1159810104527639,1.3678790348595484,32,80,47.34375,43.0,1.5675878822702496,1.6152030450707962,34,103,66.41935483870968,70.0,-0.0006125064083583978,-1.077330931370569,0.013888888888888888,0.1361111111111111,0.044623655913978495,0.041666666666666664,1.1061271540288846,1.2196670015573927
V,96,298,192.77777777777777,192.0,0.08823917833360828,0.07251079102760949,31,72,43.0,42.0,1.4112752052025395,2.5899255720292977,33,100,66.4,72.0,-0.27314161943548765,-1.115934410329761,0.016666666666666666,0.08888888888888889,0.03395061728395062,0.03333333333333333,1.3323180195972555,1.8821311590950636
