Label,Min RR,Max RR,AVG RR,Median RR,Skew RR,Kurtosis RR,Min PR,Max PR,AVG PR,Median PR,Skew PR,Kurtosis PR,Min QT,Max QT,AVG QT,Median QT,Skew QT,Kurtosis QT,Min QRS,Max QRS,AVG QRS,Median QRS,Skew QRS,Kurtosis QRS
N,247,335,289.8695652173913,293.0,-0.002268801246207616,-0.4512457385092645,52,66,58.833333333333336,59.5,0.11687363766456492,-0.5961633217993074,51,73,58.69565217391305,57.0,1.2726577850419147,2.0434575815694975,0.03333333333333333,0.15,0.09057971014492754,0.08333333333333333,0.4604290673983999,0.035021405474588096
N,236,324,286.125,283.5,-0.05359229479861837,-0.2552788693316579,46,62,57.24,56.0,-1.0509498537108704,1.9226542354177925,48,73,60.333333333333336,60.0,-0.08306614745369503,0.5049891126496471,0.030555555555555555,0.11666666666666667,0.08229166666666667,0.08472222222222223,-1.0306972878912513,1.469167064629712
N,257,333,287.7083333333333,288.0,0.2723379288455026,-0.06658238521313509,51,67,57.666666666666664,57.5,0.46289755823411344,-0.07006470125568498,50,71,60.333333333333336,60.0,0.050190743173092675,0.8513553220308201,0.05,0.1638888888888889,0.09907407407407408,0.09166666666666667,0.68486788484318,-0.22827622695997674
N,262,326,293.0,293.0,0.07681813749738696,-1.0949934538292925,39,49,45.36,46.0,-0.9145389148187255,0.9515710913672812,46,96,70.83333333333333,67.5,0.04333903504404808,-1.3754118745325892,0.027777777777777776,0.041666666666666664,0.035416666666666666,0.03611111111111111,-0.5656103762291675,0.7668209327162705
N,135,321,287.0416666666667,294.5,-3.205286882712826,11.14396122059318,42,48,45.125,45.5,-0.3270115307525891,-0.804171611827984,50,148,83.0,85.5,1.2319641692096166,3.587254974313282,0.030555555555555555,0.21388888888888888,0.044444444444444446,0.03611111111111111,4.34892984054754,17.533042302842983
~,266,326,306.69565217391306,312.0,-0.917439045420152,0.09779352589170287,27,117,50.47826086956522,45.0,2.8363119491448754,8.90413662773027,35,114,65.30434782608695,62.0,0.9308656950411077,0.5369566622218573,0.030555555555555555,0.09722222222222222,0.04903381642512077,0.041666666666666664,1.1079895129953319,0.054030275363657676
N,109,324,281.28,287.0,-3.34664153064876,12.449833882078918,54,66,57.96,59.0,0.48355903845573767,0.1724342260864833,52,133,62.08,60.0,4.267808962859369,17.576577291397122,0.03888888888888889,0.11666666666666667,0.08600000000000002,0.08611111111111111,-0.7806937995737696,1.3035195948151195
N,140,373,290.1666666666667,295.5,-1.9252364546534817,6.877878641967277,42,62,49.791666666666664,47.0,0.7232010486554579,-1.169938512541447,52,152,78.29166666666667,77.5,1.296231611557852,2.1987391652006814,0.025,0.09722222222222222,0.059259259259259255,0.06527777777777777,0.13023811647533523,-1.4680086131291483
N,270,341,296.17391304347825,294.0,0.39621296821979307,-0.3981480503340342,55,67,60.333333333333336,61.0,0.081118557204486,-0.29537994847884264,53,69,60.56521739130435,60.0,0.14872260944549887,-0.6763653767031781,0.06944444444444445,0.14722222222222223,0.10724637681159421,0.10277777777777777,0.11301013935668977,-0.9658747785912034
N,258,346,301.1363636363636,299.5,-0.025311418911307223,-0.5372426661945107,39,67,53.52173913043478,56.0,0.04381285395548272,-1.5670716888888072,44,95,69.54545454545455,61.5,0.29147788544651115,-1.3398894381917614,0.019444444444444445,0.13333333333333333,0.06691919191919195,0.04583333333333334,0.6462578967327814,-0.8899288656688498
N,125,357,286.75,297.0,-1.8029839410935635,4.572986217473012,38,61,47.64,46.0,1.332188921821411,0.7031497222969123,47,134,79.20833333333333,79.0,0.7301402263150195,0.4642863661918817,0.03333333333333333,0.1,0.05277777777777778,0.03888888888888889,0.8526438655720598,-0.876470636530077
N,114,343,290.5416666666667,294.5,-2.670235097838505,8.75017978435809,54,69,60.36,61.0,0.28941266715509884,0.37947439125027405,41,106,61.75,60.5,2.5161514074948843,9.212255365775384,0.013888888888888888,0.14166666666666666,0.0974537037037037,0.09861111111111112,-0.7356061353782472,0.3290229630403845
N,110,371,286.7083333333333,290.0,-1.445095575130591,4.221543800377636,41,61,49.0,46.0,0.7733438315941571,-0.9878552792228894,49,119,73.45833333333333,65.0,0.9139420333207773,-0.4252166442277052,0.016666666666666666,0.11388888888888889,0.06273148148148149,0.06527777777777777,0.26668699398350215,-1.0286318020507295
N,258,330,293.4782608695652,293.0,0.09205454341023203,-0.8470235048031314,33,62,45.875,45.5,1.0774586666534447,2.700732481064887,53,103,80.95652173913044,77.0,-0.06874639073876901,-1.2772969094402369,0.03333333333333333,0.10277777777777777,0.06135265700483094,0.05555555555555555,0.5319913971320153,-1.0466784649482819
N,120,378,286.625,291.0,-1.6390988296089222,4.689870626203092,41,60,50.666666666666664,48.0,0.3172116239475328,-1.4633010720841042,48,128,70.33333333333333,63.5,1.328599371260009,1.5104112772348737,0.03333333333333333,0.16666666666666666,0.06388888888888888,0.04166666666666667,1.195292498807696,0.7090172122483871
N,255,335,291.8695652173913,292.0,0.5047200930856629,0.9575685468743056,53,65,59.125,59.0,-0.21540927391037082,0.08696005772059667,54,68,60.95652173913044,61.0,0.1867829572635243,-0.4775453526868154,0.06944444444444445,0.15,0.10664251207729468,0.1,0.2865259384355269,-1.29213607294678
N,263,355,308.1363636363636,310.0,-0.050732034049529195,-0.17985727451248756,59,73,64.18181818181819,64.5,0.5402976086568859,-0.3888855180059547,54,94,60.95454545454545,58.5,3.105422670015956,10.136456044535008,0.05,0.1527777777777778,0.09722222222222222,0.09166666666666667,0.12404771620392231,-1.1576389888806822
N,258,330,293.2173913043478,294.0,-0.15424354872994153,-1.093100960188652,54,69,59.75,60.0,0.8363098859437292,1.3946677178466036,53,94,62.08695652173913,61.0,2.9368620792878364,9.80161696004953,0.07222222222222222,0.225,0.11413043478260873,0.1,1.2494770100187953,1.6261695679500852
N,256,325,290.25,293.5,0.05616450015079768,-1.1338081709269383,55,69,60.16,60.0,0.6063075024827671,0.855576447068751,54,69,59.833333333333336,59.5,0.6833509716331744,0.22111053719008078,0.03333333333333333,0.12777777777777777,0.08611111111111112,0.08611111111111111,-0.6246974201510302,2.7464923469387763
N,252,329,293.0869565217391,289.0,-0.034529408622380804,-0.8391652709072486,54,66,59.541666666666664,60.0,-0.22850806482807157,-0.19138867577106122,54,75,60.78260869565217,61.0,1.1685118429174615,2.6963289224199016,0.013888888888888888,0.11388888888888889,0.07608695652173911,0.08611111111111111,-1.1402261256361113,0.09322468174593723
N,267,334,295.7826086956522,294.0,0.26783190765091774,-1.1060757423257301,55,66,60.583333333333336,61.0,-0.09540013883955609,-0.4034243784059992,53,67,59.82608695652174,60.0,-0.09701572694147337,-0.1727048310060333,0.013888888888888888,0.1388888888888889,0.08550724637681159,0.08611111111111111,-0.5099462434946885,0.804773122788291
N,228,334,297.9130434782609,307.0,-1.2780466068060032,0.6691471893982182,43,99,50.541666666666664,46.5,3.198453547448687,10.59143536186317,42,137,70.08695652173913,62.0,1.0399420720148858,0.689810289441469,0.016666666666666666,0.1361111111111111,0.04794685990338165,0.03611111111111111,2.0141717499476095,3.174258453877517
